PRCP       18568 20140201 20200930 Andon 	Unnamed: 1	Unnamed: 2
20140201	20140228	0.1
20140301	20140331	143.9
20140401	20140430	64.1
20140501	20140531	225.3
20140601	20140630	65.0
20140701	20140731	161.4
20140801	20140831	157.5
20140901	20140930	253.9
20141001	20141031	176.5
20141101	20141130	326.0
20141201	20141231	181.7
20150101	20150131	102.6
20150201	20150228	107.2
20150301	20150331	136.1
20150401	20150430	169.4
20150501	20150531	72.0
20150601	20150630	185.0
20150701	20150731	71.1
20150801	20150831	206.0
20150901	20150930	35.9
20151001	20151031	337.4
20151101	20151130	360.0
20151201	20151231	145.3
20160101	20160131	202.8
20160201	20160229	73.4
20160301	20160331	181.2
20160401	20160430	71.6
20160501	20160531	149.2
20160601	20160630	225.8
20160701	20160731	228.5
20160801	20160831	79.4
20160901	20160930	413.9
20161001	20161031	269.3
20161101	20161130	128.8
20161201	20161231	300.4
20170101	20170131	192.5
20170201	20170228	131.7
20170301	20170331	92.8
20170401	20170430	79.2
20170501	20170531	160.8
20170601	20170630	162.5
20170701	20170731	125.3
20170801	20170831	198.4
20170901	20170930	381.0
20171001	20171031	375.8
20171101	20171130	145.5
20171201	20171231	97.4
20180101	20180131	229.8
20180201	20180228	104.5
20180301	20180331	209.9
20180401	20180430	50.1
20180501	20180531	151.5
20180601	20180630	159.5
20180701	20180731	171.7
20180801	20180831	222.4
20180901	20180930	165.5
20181001	20181031	202.4
20181101	20181130	136.7
20181201	20181231	267.3
20190101	20190131	94.5
20190201	20190228	103.0
20190301	20190331	173.4
20190401	20190430	119.1
20190501	20190531	63.3
20190601	20190630	140.4
20190701	20190731	181.6
20190801	20190831	196.5
20190901	20190930	123.4
20191001	20191031	119.6
20191101	20191130	81.8
20191201	20191231	137.7
20200101	20200131	221.9
20200201	20200229	196.4
20200301	20200331	105.6
20200401	20200430	109.2
20200501	20200531	191.6
20200601	20200630	90.9
20200701	20200731	282.4
20200801	20200831	182.0
20200901	20200930	67.7
20201001	20201031	102.4
20201101	20201130	219.4
20201201	20201231	124.4
20210101	20210131	118.1
20210201	20210228	140.7
20210301	20210331	218.3
20210401	20210430	40.9
20210501	20210531	82.8
20210601	20210630	92.7
20210701	20210731	330.1
20210801	20210831	235.3
20210901	20210930	241.3
20211001	20211031	270.1
20211101	20211130	125.4
20211201	20211231	94.8
20220101	20220131	182.5
20220201	20220228	84.0
20220301	20220331	312.6
20220401	20220430	84.2
20220501	20220531	122.9
20220601	20220630	191.2
20220701	20220731	108.3
20220801	20220831	70.1
20220901	20220930	262.3
20221001	20221031	302.4
20221101	20221130	76.2
20221201	20221231	115.1
20230101	20230131	67.5
20230201	20230228	210.5
20230301	20230331	136.2
20230401	20230430	134.3
20230501	20230531	82.4
20230601	20230630	213.3
20230701	20230731	236.2
20230801	20230831	125.8
20230901	20230930	83.4
