PRCP       18568 20140201 20200930 Arhavi	Unnamed: 1	Unnamed: 2
20140301	20140331	0.0
20140401	20140430	46.5
20140501	20140531	78.8
20140601	20140630	171.6
20140701	20140731	125.7
20140801	20140831	165.7
20140901	20140930	442.0
20141001	20141031	146.6
20141101	20141130	539.8
20141201	20141231	319.4
20150101	20150131	130.6
20150201	20150228	107.3
20150301	20150331	136.2
20150401	20150430	201.6
20150501	20150531	61.8
20150601	20150630	138.4
20150701	20150731	44.1
20150801	20150831	413.9
20150901	20150930	108.8
20151001	20151031	466.4
20151101	20151130	384.9
20151201	20151231	249.2
20160101	20160131	289.8
20160201	20160229	82.4
20160301	20160331	180.6
20160401	20160430	82.3
20160501	20160531	117.9
20160601	20160630	113.5
20160701	20160731	133.3
20160801	20160831	137.1
20160901	20160930	652.9
20161001	20161031	494.3
20161101	20161130	199.0
20161201	20161231	273.7
20170101	20170131	199.2
20170201	20170228	134.6
20170301	20170331	60.0
20170401	20170430	101.3
20170501	20170531	157.8
20170601	20170630	152.7
20170701	20170731	154.9
20170801	20170831	129.5
20170901	20170930	442.6
20171001	20171031	484.0
20171101	20171130	235.2
20171201	20171231	100.1
20180101	20180131	186.1
20180201	20180228	79.9
20180301	20180331	140.1
20180401	20180430	36.7
20180501	20180531	68.7
20180601	20180630	77.9
20180701	20180731	56.1
20180801	20180831	245.5
20180901	20180930	208.0
20181001	20181031	231.4
20181101	20181130	228.7
20181201	20181231	319.7
20190101	20190131	60.0
20190201	20190228	121.5
20190301	20190331	154.2
20190401	20190430	118.4
20190501	20190531	49.8
20190601	20190630	132.4
20190701	20190731	118.1
20190801	20190831	161.8
20190901	20190930	422.0
20191001	20191031	169.3
20191101	20191130	151.3
20191201	20191231	163.1
20200101	20200131	184.4
20200201	20200229	334.0
20200301	20200331	114.1
20200401	20200430	114.8
20200501	20200531	168.4
20200601	20200630	73.6
20200701	20200731	242.7
20200801	20200831	245.1
20200901	20200930	127.1
20201001	20201031	180.1
20201101	20201130	244.7
20201201	20201231	210.2
20210101	20210131	177.9
20210201	20210228	135.5
20210301	20210331	307.5
20210401	20210430	44.0
20210501	20210531	91.1
20210601	20210630	91.5
20210701	20210731	443.2
20210801	20210831	133.2
20210901	20210930	392.5
20211001	20211031	357.9
20211101	20211130	203.0
20211201	20211231	363.0
20220101	20220131	296.9
20220201	20220228	106.4
20220301	20220331	204.7
20220401	20220430	62.8
20220501	20220531	112.3
20220601	20220630	111.8
20220701	20220731	82.7
20220801	20220831	34.9
20220901	20220930	355.0
20221001	20221031	452.4
20221101	20221130	169.2
20221201	20221231	172.8
20230101	20230131	162.8
20230201	20230228	278.5
20230301	20230331	157.3
20230401	20230430	96.5
20230501	20230531	81.4
20230601	20230630	264.0
20230701	20230731	196.1
20230801	20230831	89.0
20230901	20230930	88.6
