PRCP       18568 20121201 20200930 Çamlıhemşin	Unnamed: 1	Unnamed: 2
20121201	20121231	69.2
20130101	20130131	71.2
20130201	20130228	62.2
20130301	20130331	114.0
20130401	20130430	56.8
20130501	20130531	40.6
20130601	20130630	130.6
20130701	20130731	105.0
20130801	20130831	42.6
20130901	20130930	196.4
20131001	20131031	167.2
20131101	20131130	78.4
20131201	20131231	143.4
20140101	20140131	77.8
20140201	20140228	60.8
20140301	20140331	82.2
20140401	20140430	71.0
20140501	20140531	66.8
20140601	20140630	146.8
20140701	20140731	85.4
20140801	20140831	167.0
20140901	20140930	150.8
20141001	20141031	125.6
20141101	20141130	224.4
20141201	20141231	130.4
20150101	20150131	84.4
20150201	20150228	38.0
20150301	20150331	70.8
20150401	20150430	98.8
20150501	20150531	50.3
20150601	20150630	92.9
20150701	20150731	25.4
20150801	20150831	117.2
20150901	20150930	19.5
20151001	20151031	252.2
20151101	20151130	285.6
20151201	20151231	124.6
20160101	20160131	135.4
20160201	20160229	38.2
20160301	20160331	97.1
20160401	20160430	63.4
20160501	20160531	108.8
20160601	20160630	114.3
20160701	20160731	93.4
20160801	20160831	60.3
20160901	20160930	273.7
20161001	20161031	192.4
20161101	20161130	86.0
20161201	20161231	204.6
20170101	20170131	66.7
20170201	20170228	39.3
20170301	20170331	39.8
20170401	20170430	51.6
20170501	20170531	123.7
20170601	20170630	116.4
20170701	20170731	53.4
20170801	20170831	60.2
20170901	20170930	230.0
20171001	20171031	195.4
20171101	20171130	88.2
20171201	20171231	106.8
20180101	20180131	96.6
20180201	20180228	66.0
20180301	20180331	138.6
20180401	20180430	32.6
20180501	20180531	89.8
20180601	20180630	92.4
20180701	20180731	70.2
20180801	20180831	95.8
20180901	20180930	86.6
20181001	20181031	150.2
20181101	20181130	93.2
20181201	20181231	140.6
20190101	20190131	47.4
20190201	20190228	55.6
20190301	20190331	89.4
20190401	20190430	64.0
20190501	20190531	55.8
20190601	20190630	57.0
20190701	20190731	67.0
20190801	20190831	85.0
20190901	20190930	164.2
20191001	20191031	101.2
20191101	20191130	63.4
20191201	20191231	77.4
20200101	20200131	117.2
20200201	20200229	118.8
20200301	20200331	74.2
20200401	20200430	60.8
20200501	20200531	120.2
20200601	20200630	57.4
20200701	20200731	147.8
20200801	20200831	108.8
20200901	20200930	55.0
20201001	20201031	73.4
20201101	20201130	139.8
20201201	20201231	67.2
20210101	20210131	68.8
20210201	20210228	67.2
20210301	20210331	133.0
20210401	20210430	20.8
20210501	20210531	37.8
20210601	20210630	59.0
20210701	20210731	149.6
20210801	20210831	93.6
20210901	20210930	145.2
20211001	20211031	141.0
20211101	20211130	76.0
20211201	20211231	88.2
20220101	20220131	99.6
20220201	20220228	30.8
20220301	20220331	109.2
20220401	20220430	40.4
20220501	20220531	58.2
20220601	20220630	99.2
20220701	20220731	64.8
20220801	20220831	27.0
20220901	20220930	107.0
20221001	20221031	120.0
20221101	20221130	48.2
20221201	20221231	97.0
20230101	20230131	59.2
20230201	20230228	121.8
20230301	20230331	79.6
20230401	20230430	82.8
20230501	20230531	63.6
20230601	20230630	127.4
20230701	20230731	117.2
20230801	20230831	84.4
20230901	20230930	64.6
