PRCP       18568 20140201 20200930 Fındıklı	Unnamed: 1	Unnamed: 2
20140201	20140228	16.9
20140301	20140331	147.1
20140401	20140430	68.0
20140501	20140531	85.5
20140601	20140630	138.0
20140701	20140731	123.8
20140801	20140831	136.7
20140901	20140930	425.9
20141001	20141031	111.3
20141101	20141130	500.0
20141201	20141231	298.6
20150101	20150131	151.9
20150201	20150228	133.1
20150301	20150331	136.0
20150401	20150430	182.2
20150501	20150531	66.8
20150601	20150630	138.0
20150701	20150731	51.7
20150801	20150831	348.1
20150901	20150930	57.3
20151001	20151031	468.6
20151101	20151130	319.7
20151201	20151231	248.2
20160101	20160131	233.3
20160201	20160229	71.8
20160301	20160331	144.7
20160401	20160430	66.4
20160501	20160531	110.9
20160601	20160630	183.7
20160701	20160731	220.1
20160801	20160831	110.7
20160901	20160930	780.3
20161001	20161031	459.8
20161101	20161130	220.0
20161201	20161231	291.6
20170101	20170131	170.5
20170201	20170228	165.1
20170301	20170331	64.4
20170401	20170430	103.1
20170501	20170531	167.2
20170601	20170630	114.4
20170701	20170731	199.6
20170801	20170831	89.1
20170901	20170930	291.2
20171001	20171031	535.9
20171101	20171130	193.2
20171201	20171231	132.7
20180101	20180131	198.6
20180201	20180228	128.7
20180301	20180331	147.8
20180401	20180430	27.6
20180501	20180531	97.2
20180601	20180630	73.1
20180701	20180731	79.7
20180801	20180831	200.7
20180901	20180930	150.3
20181001	20181031	274.2
20181101	20181130	281.5
20181201	20181231	375.0
20190101	20190131	105.0
20190201	20190228	138.0
20190301	20190331	140.0
20190401	20190430	120.0
20190501	20190531	44.6
20190601	20190630	183.0
20190701	20190731	192.2
20190801	20190831	302.6
20190901	20190930	375.7
20191001	20191031	143.1
20191101	20191130	146.2
20191201	20191231	170.5
20200101	20200131	188.7
20200201	20200229	243.4
20200301	20200331	113.2
20200401	20200430	114.5
20200501	20200531	79.6
20200601	20200630	54.2
20200701	20200731	178.5
20200801	20200831	287.5
20200901	20200930	92.7
20201001	20201031	132.1
20201101	20201130	273.8
20201201	20201231	198.9
20210101	20210131	186.7
20210201	20210228	128.7
20210301	20210331	235.6
20210401	20210430	40.2
20210501	20210531	63.5
20210601	20210630	69.3
20210701	20210731	317.1
20210801	20210831	186.4
20210901	20210930	432.9
20211001	20211031	364.6
20211101	20211130	198.7
20211201	20211231	135.6
20220101	20220131	251.4
20220201	20220228	97.0
20220301	20220331	178.4
20220401	20220430	52.2
20220501	20220531	109.0
20220601	20220630	200.0
20220701	20220731	99.4
20220801	20220831	32.6
20220901	20220930	321.3
20221001	20221031	335.8
20221101	20221130	146.0
20221201	20221231	185.0
20230101	20230131	132.9
20230201	20230228	180.2
20230301	20230331	134.0
20230401	20230430	114.6
20230501	20230531	78.5
20230601	20230630	181.8
20230701	20230731	219.3
20230801	20230831	96.0
20230901	20230930	106.6
