PRCP       18568 20121201 20200930 Güneysu	Unnamed: 1	Unnamed: 2
20121201	20121231	111.0
20130101	20130131	136.6
20130201	20130228	83.0
20130301	20130331	156.4
20130401	20130430	50.4
20130501	20130531	15.2
20130601	20130630	82.6
20130701	20130731	71.8
20130801	20130831	89.2
20130901	20130930	359.2
20131001	20131031	261.2
20131101	20131130	155.2
20131201	20131231	202.8
20140101	20140131	119.4
20140201	20140228	85.4
20140301	20140331	134.8
20140401	20140430	50.0
20140501	20140531	73.6
20140601	20140630	175.4
20140701	20140731	277.0
20140801	20140831	194.6
20140901	20140930	249.2
20141001	20141031	126.6
20141101	20141130	310.4
20141201	20141231	213.5
20150101	20150131	211.7
20150201	20150228	109.4
20150301	20150331	137.6
20150401	20150430	168.8
20150501	20150531	51.5
20150601	20150630	172.4
20150701	20150731	82.1
20150801	20150831	247.5
20150901	20150930	42.3
20151001	20151031	536.3
20151101	20151130	240.3
20151201	20151231	218.6
20160101	20160131	252.8
20160201	20160229	84.2
20160301	20160331	172.4
20160401	20160430	87.2
20160501	20160531	127.2
20160601	20160630	231.6
20160701	20160731	304.4
20160801	20160831	104.1
20160901	20160930	352.9
20161001	20161031	347.8
20161101	20161130	129.2
20161201	20161231	270.8
20170101	20170131	178.9
20170201	20170228	160.2
20170301	20170331	93.0
20170401	20170430	96.8
20170501	20170531	150.8
20170601	20170630	130.0
20170701	20170731	154.4
20170801	20170831	217.4
20170901	20170930	339.0
20171001	20171031	356.4
20171101	20171130	147.4
20171201	20171231	188.0
20180101	20180131	236.8
20180201	20180228	103.0
20180301	20180331	179.6
20180401	20180430	58.2
20180501	20180531	99.0
20180601	20180630	175.2
20180701	20180731	190.6
20180801	20180831	226.6
20180901	20180930	166.0
20181001	20181031	171.4
20181101	20181130	179.6
20181201	20181231	270.2
20190101	20190131	101.0
20190201	20190228	111.0
20190301	20190331	138.0
20190401	20190430	130.2
20190501	20190531	39.4
20190601	20190630	121.6
20190701	20190731	227.6
20190801	20190831	273.2
20190901	20190930	235.8
20191001	20191031	166.8
20191101	20191130	136.8
20191201	20191231	129.0
20200101	20200131	229.8
20200201	20200229	223.6
20200301	20200331	127.8
20200401	20200430	117.2
20200501	20200531	185.8
20200601	20200630	87.2
20200701	20200731	217.6
20200801	20200831	290.8
20200901	20200930	46.8
20201001	20201031	147.8
20201101	20201130	290.6
20201201	20201231	194.2
20210101	20210131	137.8
20210201	20210228	107.0
20210301	20210331	223.8
20210401	20210430	67.4
20210501	20210531	83.6
20210601	20210630	85.0
20210701	20210731	402.4
20210801	20210831	335.6
20210901	20210930	261.6
20211001	20211031	359.6
20211101	20211130	192.8
20211201	20211231	246.2
20220101	20220131	222.8
20220201	20220228	102.8
20220301	20220331	205.2
20220401	20220430	90.0
20220501	20220531	152.4
20220601	20220630	119.2
20220701	20220731	114.2
20220801	20220831	40.0
20220901	20220930	396.2
20221001	20221031	253.8
20221101	20221130	99.2
20221201	20221231	179.6
20230101	20230131	64.2
20230201	20230228	217.4
20230301	20230331	129.6
20230401	20230430	102.4
20230501	20230531	68.8
20230601	20230630	255.2
20230701	20230731	204.4
20230801	20230831	191.8
20230901	20230930	91.4
