PRCP       18568 20121201 20200930 Hemşin	Unnamed: 1	Unnamed: 2
20121201	20121231	80.2
20130101	20130131	90.6
20130201	20130228	56.8
20130301	20130331	123.0
20130401	20130430	50.2
20130501	20130531	24.4
20130601	20130630	126.6
20130701	20130731	125.2
20130801	20130831	43.2
20130901	20130930	192.2
20131001	20131031	174.0
20131101	20131130	96.6
20131201	20131231	223.4
20140101	20140131	106.2
20140201	20140228	68.0
20140301	20140331	136.6
20140401	20140430	63.0
20140501	20140531	56.0
20140601	20140630	123.8
20140701	20140731	102.4
20140801	20140831	129.0
20140901	20140930	281.2
20141001	20141031	158.6
20141101	20141130	337.5
20141201	20141231	156.0
20150101	20150131	99.0
20150201	20150228	39.4
20150301	20150331	86.4
20150401	20150430	97.4
20150501	20150531	56.6
20150601	20150630	95.3
20150701	20150731	28.2
20150801	20150831	156.1
20150901	20150930	28.6
20151001	20151031	309.4
20151101	20151130	277.1
20151201	20151231	173.6
20160101	20160131	158.8
20160201	20160229	42.8
20160301	20160331	106.8
20160401	20160430	79.6
20160501	20160531	108.7
20160601	20160630	171.4
20160701	20160731	103.4
20160801	20160831	85.5
20160901	20160930	480.1
20161001	20161031	253.9
20161101	20161130	98.0
20161201	20161231	256.9
20170101	20170131	74.2
20170201	20170228	93.2
20170301	20170331	48.4
20170401	20170430	44.6
20170501	20170531	117.3
20170601	20170630	115.9
20170701	20170731	72.8
20170801	20170831	64.2
20170901	20170930	264.2
20171001	20171031	257.6
20171101	20171130	133.4
20171201	20171231	120.6
20180101	20180131	123.8
20180201	20180228	79.6
20180301	20180331	163.2
20180401	20180430	31.6
20180501	20180531	96.0
20180601	20180630	59.4
20180701	20180731	69.4
20180801	20180831	142.0
20180901	20180930	79.8
20181001	20181031	273.8
20181101	20181130	145.2
20181201	20181231	189.0
20190101	20190131	93.8
20190201	20190228	79.8
20190301	20190331	148.6
20190401	20190430	93.8
20190501	20190531	41.0
20190601	20190630	107.2
20190701	20190731	113.8
20190801	20190831	189.2
20190901	20190930	335.0
20191001	20191031	167.4
20191101	20191130	100.0
20191201	20191231	92.6
20200101	20200131	203.8
20200201	20200229	239.8
20200301	20200331	71.4
20200401	20200430	75.2
20200501	20200531	129.2
20200601	20200630	62.2
20200701	20200731	225.0
20200801	20200831	200.0
20200901	20200930	102.0
20201001	20201031	114.2
20201101	20201130	219.6
20201201	20201231	189.4
20210101	20210131	95.6
20210201	20210228	54.2
20210301	20210331	180.8
20210401	20210430	18.0
20210501	20210531	44.4
20210601	20210630	41.4
20210701	20210731	175.4
20210801	20210831	178.6
20210901	20210930	197.2
20211001	20211031	207.6
20211101	20211130	132.8
20211201	20211231	204.0
20220101	20220131	210.4
20220201	20220228	51.4
20220301	20220331	143.0
20220401	20220430	56.2
20220501	20220531	71.6
20220601	20220630	86.4
20220701	20220731	55.6
20220801	20220831	42.2
20220901	20220930	204.8
20221001	20221031	254.2
20221101	20221130	75.0
20221201	20221231	93.4
20230101	20230131	86.6
20230201	20230228	258.0
20230301	20230331	105.0
20230401	20230430	87.6
20230501	20230531	58.2
20230601	20230630	171.8
20230701	20230731	179.0
20230801	20230831	111.4
20230901	20230930	59.8
