PRCP       18568 20090901 20200930 Hopa	Unnamed: 1	Unnamed: 2
20090901	20090930	458.0
20091001	20091031	119.6
20091101	20091130	257.8
20091201	20091231	136.4
20100101	20100131	254.4
20100201	20100228	106.6
20100301	20100331	189.6
20100401	20100430	91.6
20100501	20100531	77.2
20100601	20100630	142.4
20100701	20100731	69.4
20100801	20100831	126.8
20100901	20100930	290.4
20101001	20101031	196.0
20101101	20101130	18.4
20101201	20101231	74.4
20110101	20110131	175.2
20110201	20110228	305.0
20110301	20110331	153.0
20110401	20110430	175.8
20110501	20110531	83.0
20110601	20110630	277.0
20110701	20110731	108.2
20110801	20110831	139.4
20110901	20110930	273.0
20111001	20111031	327.0
20111101	20111130	273.8
20111201	20111231	67.2
20120101	20120131	203.2
20120201	20120229	207.8
20120301	20120331	196.2
20120401	20120430	67.8
20120501	20120531	41.0
20120601	20120630	111.4
20120701	20120731	109.8
20120801	20120831	196.2
20120901	20120930	370.0
20121001	20121031	135.8
20121101	20121130	306.0
20121201	20121231	314.0
20130101	20130131	173.8
20130201	20130228	111.4
20130301	20130331	202.0
20130401	20130430	61.0
20130501	20130531	16.4
20130601	20130630	127.8
20130701	20130731	274.4
20130801	20130831	66.6
20130901	20130930	73.8
20131001	20131031	96.0
20131101	20131130	201.0
20131201	20131231	376.2
20140101	20140131	28.2
20140201	20140228	55.2
20140301	20140331	181.6
20140401	20140430	63.8
20140501	20140531	66.2
20140601	20140630	160.4
20140701	20140731	109.4
20140801	20140831	136.4
20140901	20140930	279.8
20141001	20141031	97.6
20141101	20141130	230.5
20141201	20141231	270.6
20150101	20150131	134.2
20150201	20150228	118.2
20150301	20150331	106.5
20150401	20150430	175.7
20150501	20150531	76.6
20150601	20150630	106.8
20150701	20150731	43.9
20150801	20150831	387.9
20150901	20150930	27.0
20151001	20151031	581.8
20151101	20151130	374.1
20151201	20151231	223.2
20160101	20160131	321.9
20160201	20160229	79.2
20160301	20160331	160.4
20160401	20160430	89.4
20160501	20160531	112.0
20160601	20160630	259.3
20160701	20160731	200.8
20160801	20160831	104.2
20160901	20160930	709.4
20161001	20161031	467.6
20161101	20161130	181.8
20161201	20161231	285.2
20170101	20170131	223.1
20170201	20170228	136.2
20170301	20170331	50.4
20170401	20170430	92.4
20170501	20170531	201.9
20170601	20170630	106.2
20170701	20170731	163.1
20170801	20170831	95.8
20170901	20170930	301.6
20171001	20171031	495.9
20171101	20171130	206.8
20171201	20171231	224.1
20180101	20180131	184.5
20180201	20180228	131.9
20180301	20180331	222.4
20180401	20180430	56.1
20180501	20180531	107.1
20180601	20180630	33.9
20180701	20180731	77.1
20180801	20180831	163.2
20180901	20180930	295.8
20181001	20181031	295.0
20181101	20181130	282.1
20181201	20181231	320.4
20190101	20190131	96.8
20190201	20190228	126.2
20190301	20190331	150.9
20190401	20190430	119.9
20190501	20190531	47.5
20190601	20190630	138.6
20190701	20190731	235.9
20190801	20190831	221.4
20190901	20190930	342.4
20191001	20191031	143.9
20191101	20191130	136.2
20191201	20191231	150.7
20200101	20200131	190.5
20200201	20200229	271.1
20200301	20200331	94.6
20200401	20200430	111.8
20200501	20200531	137.5
20200601	20200630	100.9
20200701	20200731	185.9
20200801	20200831	178.9
20200901	20200930	103.1
20201001	20201031	166.7
20201101	20201130	240.3
20201201	20201231	227.3
20210101	20210131	184.5
20210201	20210228	134.2
20210301	20210331	233.8
20210401	20210430	38.3
20210501	20210531	65.5
20210601	20210630	88.5
20210701	20210731	307.4
20210801	20210831	154.5
20210901	20210930	411.0
20211001	20211031	397.2
20211101	20211130	158.5
20211201	20211231	288.9
20220101	20220131	295.3
20220201	20220228	97.3
20220301	20220331	195.9
20220401	20220430	54.0
20220501	20220531	124.9
20220601	20220630	188.8
20220701	20220731	66.0
20220801	20220831	37.2
20220901	20220930	312.6
20221001	20221031	445.7
20221101	20221130	176.7
20221201	20221231	170.3
20230101	20230131	132.1
20230201	20230228	272.4
20230301	20230331	123.9
20230401	20230430	98.7
20230501	20230531	77.5
20230601	20230630	189.2
20230701	20230731	205.2
20230801	20230831	105.0
20230901	20230930	157.3
