PRCP       18568 20090901 20200930 Pazar	Unnamed: 1	Unnamed: 2
20090901	20090930	316.2
20091001	20091031	181.4
20091101	20091130	41.0
20091201	20091231	91.8
20100101	20100131	106.2
20100201	20100228	116.0
20100301	20100331	183.8
20100401	20100430	31.4
20100501	20100531	231.4
20100601	20100630	234.2
20100701	20100731	133.8
20100801	20100831	160.8
20100901	20100930	272.0
20101001	20101031	480.4
20101101	20101130	22.0
20101201	20101231	23.6
20110101	20110131	76.2
20110201	20110228	304.6
20110301	20110331	144.0
20110401	20110430	127.6
20110501	20110531	60.4
20110601	20110630	216.8
20110701	20110731	43.6
20110801	20110831	296.8
20110901	20110930	332.0
20111001	20111031	458.8
20111101	20111130	261.0
20111201	20111231	93.6
20120101	20120131	141.6
20120201	20120229	156.0
20120301	20120331	191.4
20120401	20120430	62.0
20120501	20120531	33.2
20120601	20120630	166.6
20120701	20120731	145.4
20120801	20120831	214.4
20120901	20120930	205.0
20121001	20121031	127.0
20121101	20121130	229.6
20121201	20121231	305.8
20130101	20130131	42.2
20130201	20130228	68.2
20130301	20130331	174.4
20130401	20130430	43.6
20130501	20130531	26.4
20130601	20130630	124.8
20130701	20130731	65.0
20130801	20130831	46.4
20130901	20130930	296.8
20131001	20131031	0.4
20131101	20131130	95.6
20131201	20131231	343.0
20140101	20140131	111.6
20140201	20140228	68.4
20140301	20140331	126.8
20140401	20140430	57.8
20140501	20140531	15.6
20140601	20140630	14.2
20140701	20140731	102.6
20140801	20140831	178.0
20140901	20140930	398.4
20141001	20141031	98.0
20141101	20141130	390.0
20141201	20141231	291.6
20150101	20150131	160.4
20150201	20150228	99.4
20150301	20150331	143.4
20150401	20150430	163.0
20150501	20150531	67.4
20150601	20150630	54.8
20150701	20150731	0.0
20150801	20150831	237.8
20150901	20150930	80.8
20151001	20151031	511.2
20151101	20151130	324.6
20151201	20151231	243.4
20160101	20160131	222.4
20160201	20160229	72.0
20160301	20160331	151.2
20160401	20160430	71.2
20160501	20160531	107.6
20160601	20160630	209.4
20160701	20160731	244.6
20160801	20160831	150.8
20160901	20160930	624.2
20161001	20161031	552.4
20161101	20161130	201.6
20161201	20161231	297.6
20170101	20170131	141.6
20170201	20170228	144.8
20170301	20170331	72.0
20170401	20170430	96.6
20170501	20170531	136.0
20170601	20170630	138.2
20170701	20170731	126.2
20170801	20170831	183.6
20170901	20170930	217.2
20171001	20171031	301.4
20171101	20171130	218.4
20171201	20171231	225.0
20180101	20180131	213.8
20180201	20180228	126.6
20180301	20180331	210.6
20180401	20180430	64.0
20180501	20180531	123.2
20180601	20180630	124.2
20180701	20180731	108.6
20180801	20180831	124.2
20180901	20180930	71.6
20181001	20181031	269.2
20181101	20181130	209.8
20181201	20181231	378.4
20190101	20190131	146.0
20190201	20190228	103.4
20190301	20190331	120.2
20190401	20190430	107.2
20190501	20190531	27.6
20190601	20190630	148.0
20190701	20190731	230.0
20190801	20190831	92.8
20190901	20190930	400.2
20191001	20191031	127.6
20191101	20191130	166.4
20191201	20191231	168.0
20200101	20200131	222.0
20200201	20200229	198.8
20200301	20200331	102.4
20200401	20200430	101.4
20200501	20200531	179.0
20200601	20200630	32.0
20200701	20200731	428.2
20200801	20200831	345.2
20200901	20200930	103.0
20201001	20201031	140.8
20201101	20201130	347.4
20201201	20201231	149.0
20210101	20210131	172.8
20210201	20210228	108.8
20210301	20210331	208.6
20210401	20210430	15.9
20210501	20210531	23.9
20210601	20210630	30.9
20210701	20210731	191.2
20210801	20210831	160.8
20210901	20210930	184.6
20211001	20211031	193.5
20211101	20211130	83.5
20211201	20211231	129.0
20220101	20220131	137.9
20220201	20220228	57.5
20220301	20220331	93.3
20220401	20220430	21.9
20220501	20220531	45.0
20220601	20220630	78.6
20220701	20220731	31.5
20220801	20220831	9.2
20220901	20220930	170.6
20221001	20221031	146.6
20221101	20221130	47.3
20221201	20221231	150.2
20230101	20230131	111.4
20230201	20230228	194.2
20230301	20230331	106.6
20230401	20230430	94.6
20230501	20230531	66.0
20230601	20230630	148.8
20230701	20230731	102.0
20230801	20230831	132.8
20230901	20230930	57.2
