PRCP       18568 20090901 20200930 Rize	Unnamed: 1	Unnamed: 2
20090901	20090930	349.4
20091001	20091031	134.2
20091101	20091130	288.8
20091201	20091231	130.6
20100101	20100131	279.2
20100201	20100228	124.2
20100301	20100331	176.0
20100401	20100430	94.4
20100501	20100531	94.2
20100601	20100630	225.6
20100701	20100731	166.6
20100801	20100831	315.2
20100901	20100930	169.8
20101001	20101031	427.0
20101101	20101130	6.8
20101201	20101231	84.2
20110101	20110131	254.8
20110201	20110228	258.0
20110301	20110331	133.0
20110401	20110430	131.6
20110501	20110531	71.6
20110601	20110630	250.4
20110701	20110731	141.0
20110801	20110831	142.6
20110901	20110930	303.8
20111001	20111031	447.6
20111101	20111130	232.0
20111201	20111231	85.0
20120101	20120131	195.0
20120201	20120229	173.0
20120301	20120331	174.2
20120401	20120430	52.8
20120501	20120531	44.0
20120601	20120630	195.2
20120701	20120731	98.2
20120801	20120831	256.4
20120901	20120930	108.2
20121001	20121031	174.2
20121101	20121130	201.6
20121201	20121231	314.6
20130101	20130131	202.8
20130201	20130228	107.6
20130301	20130331	196.0
20130401	20130430	40.8
20130501	20130531	15.6
20130601	20130630	69.6
20130701	20130731	155.2
20130801	20130831	22.6
20130901	20130930	362.6
20131001	20131031	225.4
20131101	20131130	152.4
20131201	20131231	212.4
20140101	20140131	97.8
20140201	20140228	94.0
20140301	20140331	127.0
20140401	20140430	43.0
20140501	20140531	73.8
20140601	20140630	121.6
20140701	20140731	97.2
20140801	20140831	265.0
20140901	20140930	412.8
20141001	20141031	122.0
20141101	20141130	341.8
20141201	20141231	209.4
20150101	20150131	241.4
20150201	20150228	142.4
20150301	20150331	142.9
20150401	20150430	140.4
20150501	20150531	74.9
20150601	20150630	228.3
20150701	20150731	176.5
20150801	20150831	278.6
20150901	20150930	33.7
20151001	20151031	487.2
20151101	20151130	249.8
20151201	20151231	270.4
20160101	20160131	393.8
20160201	20160229	49.3
20160301	20160331	160.3
20160401	20160430	63.1
20160501	20160531	110.6
20160601	20160630	186.4
20160701	20160731	393.4
20160801	20160831	200.3
20160901	20160930	314.6
20161001	20161031	453.0
20161101	20161130	213.3
20161201	20161231	265.6
20170101	20170131	218.0
20170201	20170228	168.7
20170301	20170331	71.0
20170401	20170430	83.9
20170501	20170531	143.2
20170601	20170630	80.4
20170701	20170731	104.0
20170801	20170831	221.2
20170901	20170930	205.4
20171001	20171031	379.3
20171101	20171130	170.0
20171201	20171231	176.1
20180101	20180131	287.0
20180201	20180228	103.6
20180301	20180331	178.6
20180401	20180430	39.1
20180501	20180531	143.1
20180601	20180630	58.1
20180701	20180731	116.6
20180801	20180831	119.3
20180901	20180930	175.4
20181001	20181031	167.0
20181101	20181130	209.0
20181201	20181231	329.8
20190101	20190131	124.2
20190201	20190228	90.3
20190301	20190331	101.7
20190401	20190430	119.8
20190501	20190531	32.1
20190601	20190630	119.8
20190701	20190731	109.7
20190801	20190831	329.9
20190901	20190930	389.2
20191001	20191031	169.4
20191101	20191130	138.3
20191201	20191231	164.8
20200101	20200131	262.0
20200201	20200229	190.1
20200301	20200331	140.7
20200401	20200430	94.7
20200501	20200531	144.2
20200601	20200630	77.5
20200701	20200731	130.5
20200801	20200831	229.7
20200901	20200930	79.6
20201001	20201031	90.6
20201101	20201130	302.1
20201201	20201231	155.1
20210101	20210131	153.9
20210201	20210228	125.2
20210301	20210331	171.1
20210401	20210430	44.4
20210501	20210531	57.5
20210601	20210630	80.7
20210701	20210731	156.0
20210801	20210831	218.8
20210901	20210930	364.7
20211001	20211031	455.2
20211101	20211130	178.0
20211201	20211231	251.5
20220101	20220131	238.5
20220201	20220228	85.7
20220301	20220331	273.5
20220401	20220430	79.2
20220501	20220531	135.4
20220601	20220630	125.7
20220701	20220731	46.4
20220801	20220831	67.5
20220901	20220930	408.5
20221001	20221031	280.3
20221101	20221130	139.4
20221201	20221231	130.6
20230101	20230131	59.3
20230201	20230228	176.9
20230301	20230331	126.8
20230401	20230430	134.9
20230501	20230531	57.3
20230601	20230630	178.8
20230701	20230731	172.3
20230801	20230831	79.2
20230901	20230930	186.8
