PRCP       18568 20121201 20200930 Sivrikaya	Unnamed: 1	Unnamed: 2
20121201	20121231	17.6
20130101	20130131	29.2
20130201	20130228	10.4
20130301	20130331	42.2
20130401	20130430	27.4
20130501	20130531	11.6
20130601	20130630	26.6
20130701	20130731	3.6
20130801	20130831	0.6
20130901	20130930	24.6
20131001	20131031	76.6
20131101	20131130	11.4
20131201	20131231	25.8
20140101	20140131	36.6
20140201	20140228	42.0
20140301	20140331	59.8
20140401	20140430	81.6
20140501	20140531	105.2
20140601	20140630	61.2
20140701	20140731	39.0
20140801	20140831	34.4
20140901	20140930	79.6
20141001	20141031	76.4
20141101	20141130	51.3
20141201	20141231	52.5
20150101	20150131	6.9
20150201	20150228	58.0
20150301	20150331	50.2
20150401	20150430	76.7
20150501	20150531	33.0
20150601	20150630	52.1
20150701	20150731	1.8
20150801	20150831	23.9
20150901	20150930	8.5
20151001	20151031	33.8
20151101	20151130	155.0
20151201	20151231	43.2
20160101	20160131	35.2
20160201	20160229	36.9
20160301	20160331	84.4
20160401	20160430	74.5
20160501	20160531	89.4
20160601	20160630	48.9
20160701	20160731	14.9
20160801	20160831	35.9
20160901	20160930	55.7
20161001	20161031	14.0
20161101	20161130	19.0
20161201	20161231	56.6
20170101	20170131	2.8
20170201	20170228	16.6
20170301	20170331	10.8
20170401	20170430	21.8
20170501	20170531	62.1
20170601	20170630	49.0
20170701	20170731	3.0
20170801	20170831	10.6
20170901	20170930	17.8
20171001	20171031	0.0
20171101	20171130	0.0
20171201	20171231	0.0
20180101	20180131	0.0
20180201	20180228	0.0
20180301	20180331	0.0
20180401	20180430	13.6
20180501	20180531	95.6
20180601	20180630	102.6
20180701	20180731	47.4
20180801	20180831	31.4
20180901	20180930	41.8
20181001	20181031	91.4
20181101	20181130	44.4
20181201	20181231	68.4
20190101	20190131	18.8
20190201	20190228	18.8
20190301	20190331	42.2
20190401	20190430	68.6
20190501	20190531	35.8
20190601	20190630	79.4
20190701	20190731	47.2
20190801	20190831	42.0
20190901	20190930	40.4
20191001	20191031	32.0
20191101	20191130	27.8
20191201	20191231	29.2
20200101	20200131	22.0
20200201	20200229	50.0
20200301	20200331	34.0
20200401	20200430	61.6
20200501	20200531	118.2
20200601	20200630	65.0
20200701	20200731	119.4
20200801	20200831	74.8
20200901	20200930	5.2
20201001	20201031	20.6
20201101	20201130	71.6
20201201	20201231	21.2
20210101	20210131	23.8
20210201	20210228	33.0
20210301	20210331	75.2
20210401	20210430	39.8
20210501	20210531	34.8
20210601	20210630	33.6
20210701	20210731	62.4
20210801	20210831	82.4
20210901	20210930	86.6
20211001	20211031	82.4
20211101	20211130	41.2
20211201	20211231	30.6
20220101	20220131	23.4
20220201	20220228	23.8
20220301	20220331	63.8
20220401	20220430	61.0
20220501	20220531	73.4
20220601	20220630	117.8
20220701	20220731	36.0
20220801	20220831	23.4
20220901	20220930	47.8
20221001	20221031	90.4
20221101	20221130	51.4
20221201	20221231	29.0
20230101	20230131	7.6
20230201	20230228	24.6
20230301	20230331	100.4
20230401	20230430	142.0
20230501	20230531	94.8
20230601	20230630	78.0
20230701	20230731	43.8
20230801	20230831	17.2
20230901	20230930	10.2
