PRCP       18568 20121201 20200930 Yeşiltepe	Unnamed: 1	Unnamed: 2
20121201	20121231	92.4
20130101	20130131	98.2
20130201	20130228	92.6
20130301	20130331	138.4
20130401	20130430	83.6
20130501	20130531	22.4
20130601	20130630	113.0
20130701	20130731	137.8
20130801	20130831	115.6
20130901	20130930	362.8
20131001	20131031	202.4
20131101	20131130	150.8
20131201	20131231	137.6
20140101	20140131	120.8
20140201	20140228	78.6
20140301	20140331	111.8
20140401	20140430	64.6
20140501	20140531	83.0
20140601	20140630	144.8
20140701	20140731	137.6
20140801	20140831	122.6
20140901	20140930	282.4
20141001	20141031	115.0
20141101	20141130	314.6
20141201	20141231	196.1
20150101	20150131	64.6
20150201	20150228	93.4
20150301	20150331	99.6
20150401	20150430	129.8
20150501	20150531	59.8
20150601	20150630	113.2
20150701	20150731	66.4
20150801	20150831	27.4
20150901	20150930	3.6
20151001	20151031	372.7
20151101	20151130	234.5
20151201	20151231	93.8
20160101	20160131	148.1
20160201	20160229	58.6
20160301	20160331	134.8
20160401	20160430	81.5
20160501	20160531	127.9
20160601	20160630	202.0
20160701	20160731	241.2
20160801	20160831	113.7
20160901	20160930	374.4
20161001	20161031	274.6
20161101	20161130	142.8
20161201	20161231	213.3
20170101	20170131	81.3
20170201	20170228	66.0
20170301	20170331	62.6
20170401	20170430	74.8
20170501	20170531	130.6
20170601	20170630	123.9
20170701	20170731	198.2
20170801	20170831	116.8
20170901	20170930	264.8
20171001	20171031	287.6
20171101	20171130	121.8
20171201	20171231	154.8
20180101	20180131	164.6
20180201	20180228	94.6
20180301	20180331	180.6
20180401	20180430	39.8
20180501	20180531	86.6
20180601	20180630	55.4
20180701	20180731	106.0
20180801	20180831	220.0
20180901	20180930	145.6
20181001	20181031	222.4
20181101	20181130	130.4
20181201	20181231	136.4
20190101	20190131	74.0
20190201	20190228	61.6
20190301	20190331	89.6
20190401	20190430	64.6
20190501	20190531	35.6
20190601	20190630	92.8
20190701	20190731	124.4
20190801	20190831	166.2
20190901	20190930	252.6
20191001	20191031	189.6
20191101	20191130	35.6
20191201	20191231	56.0
20200101	20200131	122.0
20200201	20200229	80.2
20200301	20200331	90.4
20200401	20200430	68.2
20200501	20200531	142.6
20200601	20200630	61.2
20200701	20200731	217.2
20200801	20200831	141.8
20200901	20200930	106.6
20201001	20201031	167.4
20201101	20201130	201.0
20201201	20201231	169.6
20210101	20210131	92.8
20210201	20210228	90.2
20210301	20210331	179.6
20210401	20210430	31.8
20210501	20210531	53.6
20210601	20210630	108.2
20210701	20210731	257.0
20210801	20210831	159.6
20210901	20210930	197.6
20211001	20211031	243.0
20211101	20211130	133.0
20211201	20211231	147.8
20220101	20220131	112.4
20220201	20220228	62.6
20220301	20220331	126.2
20220401	20220430	57.6
20220501	20220531	87.4
20220601	20220630	139.4
20220701	20220731	115.4
20220801	20220831	54.4
20220901	20220930	247.0
20221001	20221031	295.4
20221101	20221130	111.0
20221201	20221231	116.4
20230101	20230131	86.4
20230201	20230228	116.8
20230301	20230331	106.6
20230401	20230430	100.8
20230501	20230531	85.4
20230601	20230630	180.6
20230701	20230731	176.2
20230801	20230831	69.8
20230901	20230930	109.8
