PRCP       18568 20121201 20200930 Çayeli	Unnamed: 1	Unnamed: 2
20121201	20121231	118.4
20130101	20130131	161.8
20130201	20130228	86.4
20130301	20130331	170.4
20130401	20130430	60.2
20130501	20130531	16.8
20130601	20130630	111.6
20130701	20130731	122.4
20130801	20130831	68.6
20130901	20130930	430.6
20131001	20131031	283.8
20131101	20131130	172.4
20131201	20131231	254.2
20140101	20140131	130.2
20140201	20140228	92.6
20140301	20140331	164.0
20140401	20140430	54.4
20140501	20140531	71.6
20140601	20140630	232.8
20140701	20140731	218.6
20140801	20140831	178.2
20140901	20140930	398.6
20141001	20141031	135.2
20141101	20141130	397.9
20141201	20141231	285.1
20150101	20150131	199.3
20150201	20150228	110.4
20150301	20150331	147.8
20150401	20150430	148.6
20150501	20150531	44.0
20150601	20150630	115.1
20150701	20150731	53.5
20150801	20150831	219.6
20150901	20150930	68.9
20151001	20151031	608.8
20151101	20151130	381.1
20151201	20151231	300.3
20160101	20160131	244.5
20160201	20160229	89.1
20160301	20160331	146.7
20160401	20160430	25.6
20160501	20160531	132.5
20160601	20160630	227.4
20160701	20160731	394.8
20160801	20160831	109.3
20160901	20160930	444.9
20161001	20161031	453.7
20161101	20161130	153.0
20161201	20161231	129.6
20170101	20170131	172.9
20170201	20170228	159.0
20170301	20170331	81.5
20170401	20170430	89.5
20170501	20170531	131.0
20170601	20170630	127.9
20170701	20170731	160.8
20170801	20170831	161.6
20170901	20170930	336.8
20171001	20171031	392.0
20171101	20171130	175.8
20171201	20171231	170.0
20180101	20180131	161.2
20180201	20180228	125.6
20180301	20180331	188.8
20180401	20180430	59.2
20180501	20180531	94.8
20180601	20180630	86.2
20180701	20180731	177.0
20180801	20180831	197.0
20180901	20180930	294.2
20181001	20181031	190.2
20181101	20181130	228.0
20181201	20181231	314.8
20190101	20190131	43.8
20190201	20190228	111.4
20190301	20190331	121.2
20190401	20190430	119.6
20190501	20190531	32.4
20190601	20190630	146.6
20190701	20190731	228.8
20190801	20190831	225.4
20190901	20190930	252.6
20191001	20191031	203.8
20191101	20191130	117.8
20191201	20191231	128.2
20200101	20200131	121.8
20200201	20200229	214.4
20200301	20200331	108.8
20200401	20200430	111.4
20200501	20200531	141.2
20200601	20200630	72.6
20200701	20200731	481.2
20200801	20200831	274.2
20200901	20200930	126.4
20201001	20201031	229.6
20201101	20201130	271.2
20201201	20201231	171.2
20210101	20210131	151.8
20210201	20210228	104.4
20210301	20210331	210.2
20210401	20210430	44.4
20210501	20210531	76.0
20210601	20210630	105.8
20210701	20210731	369.0
20210801	20210831	418.0
20210901	20210930	302.2
20211001	20211031	309.4
20211101	20211130	139.8
20211201	20211231	245.0
20220101	20220131	213.8
20220201	20220228	105.2
20220301	20220331	133.8
20220401	20220430	60.0
20220501	20220531	100.6
20220601	20220630	155.4
20220701	20220731	107.8
20220801	20220831	79.8
20220901	20220930	438.2
20221001	20221031	285.0
20221101	20221130	105.2
20221201	20221231	161.2
20230101	20230131	88.2
20230201	20230228	174.8
20230301	20230331	109.8
20230401	20230430	104.2
20230501	20230531	65.0
20230601	20230630	293.2
20230701	20230731	194.6
20230801	20230831	374.8
20230901	20230930	141.0
